6 18,26 30,18 35,22 26,3 22,14 31,28 30,2 11,9 26,5 37,4 39,6 11,16 22,7 19,24 35,7 28,29 34,5 12,22 28
20 31,23 27,0 7,4 23,12 36,3 33,10 20,19 32,13 28,7 30,14 17,6 34,12 29,8 25,1 28,22 23,29 38,22 32,4 27
14 37,4 36,10 15,13 23,30 36,7 16,0 32,25 31,12 15,6 29,3 21,20 37,31 37,3 30,16 21,11 34,16 30,5 11,22 27
4 13,12 26,1 7,19 22,8 31,9 30,2 24,26 27,6 24,26 36,3 16,7 32,4 15,27 37,28 36,30 33,10 39,11 38,15 20
26 29,26 38,6 35,8 17,27 39,0 22,4 10,5 20,20 39,34 38,5 29,17 31,11 24,5 38,8 37,9 36,13 36,26 33,4 12
2 5,11 35,24 29,7 22,25 37,21 30,0 1,5 15,8 14,14 27,5 24,13 22,18 24,26 37,20 27,14 20,22 33,5 26,1 22

4115 21,33 36,10 34,18 26,16 38,5 19,8 18,23 34,12 34,4 30,9 35,13 17,3 33,11 16,1 26,16 24,3 17,31 33,20 33
6 34,4 34,1 10,10 22,27 38,1 28,13 30,2 27,18 23,1 37,0 39,12 13,3 19,5 16,4 18,13 23,7 16,1 39,2 38
29 31,13 16,2 31,5 11,4 13,21 29,23 26,18 39,4 22,14 32,4 31,17 25,13 18,0 18,27 35,8 31,19 31,2 24,10 37
32 34,4 6,3 16,4 15,21 31,23 28,3 25,23 37,19 33,8 33,10 39,2 35,15 29,12 30,17 20,22 34,10 23,2 19,13 25
15 31,12 14,3 11,4 10,12 23,9 27,24 27,18 20,4 12,4 21,2 5,10 18,14 34,0 26,13 20,6 14,7 13,16 25,24 38
35 38,7 31,18 31,4 14,0 1,11 19,2 16,3 36,7 15,24 31,26 28,7 24,4 7,18 33,3 20,20 36,12 32,2 9,28 37

43
