18-26   26-39   16-38    3-13   22-26    0- 5
11-14   14-31    0-23   13-26   24-26   16-22
20-31    9-10    0- 7    3-24   23-36   10-20
15-25    7-21   11-37    3-26    5-23   23-38
 3-35    1-10   27-38    7-23   16-35    5-16
21-34   10-15   11-32   25-31    4-11   21-36
 1-14   19-29    2-22   33-37    1-32    0-34
 6-31   20-30   29-33   18-39   12-35   14-32
 4-31    8-22   10-19   13-18   11-18   36-38
27-35   10-28   16-23   11-36    0-36    6-15
 4- 6   13-39    0-11   10-30    2-26   11-38
 2-35    6-17   26-29   20-25   29-37    4-17
34-36   10-14    1-11   11-13   19-26    0-22
 6-10    6-19    7-36    2- 3    2-12   19-28
10-25   19-37   11-33   26-33   12-16    0- 8
11-17   11-26    0-26   13-38   35-38    4-14
 0- 1    0-10   11-19    2-16    0-28   26-28
25-30    6-25   16-27    5- 8   14-20   17-19
 8-16    9-15    3-38    0-21    6- 9   13-24

First exception encountered afer 39 additions.
