32-37   13-33   16-29   18-26    2-39    3-22
31-38   20-38   11-14   28-30   13-26   32-39
19-39    7-19   18-19   25-34   16-31   18-28
 3- 6   20-31    0- 7   17-23   12-36   13-28
15-25   16-24   18-30    3- 8   38-39   14-17
 0- 9   13-30   18-23   25-38   16-35   12-22
 1- 3    8-36    7-16   16-19   10-33    2-38
 6-29    3-12   12-24    4-29   17-32    7- 9
11-34   15-34   22-27   31-39   18-39    4-22
13-18   11-18   17-34   19-31   32-34   21-22
 5-13   17-18   37-39    6- 8   12-21   15-38
11-13   19-26    0-22    8-35    2-37   32-38
 1- 4   20-39   34-38    0-15   11-15    0-24
15-24    3- 4   35-36   24-36    7-29    8-12
10-18   14-34   11-17    1-27   15-26    7-22
24-38    5-15   10-11    3-27   23-39    9-22
37-38   15-19    6-16    7-15   24-31   26-28
 4- 7   16-36   18-33    8-16   10-13   23-32
 3-29    0-12    5-26    0-21   13-15    1-22

First exception encountered afer 41 additions.
